ID,Age_Group,Gender,Employment,Income,Education,Cafe_Frequency,Reading_Frequency,Visit_Reason,Coffee_Preferences,Food_Preferences,Favorite_Genres,Avg_Spend_AED,Total_Spend_AED,Willing_Pay_Membership,Consider_Membership,Visit_Likelihood,Will_Recommend
1,35-44,Male,Self-employed/Business owner,"Above 75,000",Bachelor's Degree,2-3 times per week,Rare reader (few times a year),"Free WiFi|Relaxation and ""me-time""","Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options",Unknown,91,244,250,Maybe,Probably will visit,Probably yes
2,18-24,Female,Student,"10,001 - 20,000",High School or below,Rarely/Never,Monthly reader (few times a month),Work/study in a different environment,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Pastries (croissants, muffins)",Children's/Young Adult|Fiction - Mystery/Thriller,27,48,170,Maybe,Probably will visit,Definitely yes
3,25-34,Female,Full-time employed,"35,001 - 50,000",Bachelor's Degree,4-6 times per week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Arabic/Turkish Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","Pastries (croissants, muffins)|Salads",Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Other,40,81,347,Maybe,Probably will visit,Probably yes
4,25-34,Female,Part-time employed,"5,000 - 10,000",Bachelor's Degree,Once a week,Daily reader (read every day),Business meetings,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Sandwiches/Wraps|Vegan/Healthy options",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Other|Religious/Spiritual,20,34,177,Maybe,Definitely will visit,Maybe
5,35-44,Female,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Once a month,Monthly reader (few times a month),Social meetings with friends/colleagues,Hot Chocolate|Non-caffeinated beverages only,"No food, just beverages|Traditional Arabic sweets|Vegan/Healthy options",Fiction - Literary|Fiction - Science Fiction/Fantasy,40,56,0,Probably not,Might visit,Probably yes
6,35-44,Female,Full-time employed,"Above 75,000",Master's Degree,Once a week,Regular reader (3-5 times per week),"Business meetings|Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate","Breakfast items|Pastries (croissants, muffins)",Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help|Religious/Spiritual,100,224,0,Definitely not,Probably will visit,Probably yes
7,45-54,Female,Full-time employed,"20,001 - 35,000",Other,2-3 times per month,Monthly reader (few times a month),"Food quality|Relaxation and ""me-time""","Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Desserts (cakes, brownies)|International cuisine options|No food, just beverages",Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Poetry|Religious/Spiritual,32,68,242,Maybe,Probably won't visit,Probably not
8,18-24,Female,Part-time employed,"5,000 - 10,000",Bachelor's Degree,Rarely/Never,Monthly reader (few times a month),"Coffee/beverages quality|Relaxation and ""me-time""","Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,24,41,188,"Yes, definitely",Definitely won't visit,Maybe
9,25-34,Male,Full-time employed,Prefer not to say,Other,Once a week,Rare reader (few times a year),Coffee/beverages quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Unknown,37,83,129,"Yes, definitely",Probably will visit,Maybe
10,18-24,Male,Student,"Less than 5,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues|Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Fresh Juices/Smoothies",Salads|Traditional Arabic sweets,Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Poetry,10,20,142,"Yes, definitely",Definitely will visit,Definitely yes
11,25-34,Female,Full-time employed,"10,001 - 20,000",Master's Degree,Once a week,Regular reader (3-5 times per week),Coffee/beverages quality|Free WiFi,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)",Children's/Young Adult|Fiction - Contemporary/Romance|Non-Fiction - Science/Technology|Poetry|Religious/Spiritual,23,35,137,"Yes, depending on price",Definitely will visit,Definitely yes
12,35-44,Male,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a month,Occasional reader (1-2 times per week),Coffee/beverages quality,Fresh Juices/Smoothies|Hot Chocolate,"Desserts (cakes, brownies)|No food, just beverages",Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Poetry,45,76,0,Probably not,Definitely will visit,Definitely yes
13,18-24,Female,Full-time employed,"50,001 - 75,000",High School or below,2-3 times per month,Non-reader,Ambiance and interior design,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Non-caffeinated beverages only","International cuisine options|Pastries (croissants, muffins)",Non-Fiction - Science/Technology,80,238,0,Definitely not,Might visit,Probably yes
14,25-34,Male,Full-time employed,"35,001 - 50,000",Bachelor's Degree,Once a month,Regular reader (3-5 times per week),Work/study in a different environment,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Salads|Traditional Arabic sweets,Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Other|Religious/Spiritual,40,96,0,Probably not,Probably will visit,Maybe
15,35-44,Female,Full-time employed,"Above 75,000",Bachelor's Degree,4-6 times per week,Daily reader (read every day),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee",International cuisine options|Traditional Arabic sweets,Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Other|Poetry,68,119,361,"Yes, definitely",Might visit,Probably not
16,35-44,Male,Self-employed/Business owner,"10,001 - 20,000",Bachelor's Degree,Once a week,Occasional reader (1-2 times per week),Free WiFi,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Sandwiches/Wraps",Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Poetry,29,54,173,Maybe,Might visit,Maybe
17,25-34,Female,Part-time employed,"10,001 - 20,000",Bachelor's Degree,2-3 times per week,Occasional reader (1-2 times per week),"Relaxation and ""me-time""|Work/study in a different environment","Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Traditional Arabic sweets",Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,25,50,143,"Yes, depending on price",Definitely will visit,Probably yes
18,35-44,Male,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,4-6 times per week,Occasional reader (1-2 times per week),Business meetings,Arabic/Turkish Coffee|Fresh Juices/Smoothies|Hot Chocolate,Salads|Vegan/Healthy options,Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Religious/Spiritual,53,139,0,Probably not,Might visit,Probably yes
19,45-54,Female,Unemployed,"5,000 - 10,000",Master's Degree,Once a month,Daily reader (read every day),Coffee/beverages quality|Work/study in a different environment,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets",Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Poetry,21,33,0,Probably not,Definitely will visit,Definitely yes
20,18-24,Male,Student,"Less than 5,000",Bachelor's Degree,2-3 times per month,Monthly reader (few times a month),Food quality,"Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)","Light snacks (cookies, biscuits)|Sandwiches/Wraps",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Religious/Spiritual,12,27,0,Definitely not,Probably won't visit,Maybe
21,45-54,Male,Full-time employed,Prefer not to say,Bachelor's Degree,Once a week,Rare reader (few times a year),"Relaxation and ""me-time""",Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Non-caffeinated beverages only,"Breakfast items|Desserts (cakes, brownies)|Salads",Children's/Young Adult|Fiction - Contemporary/Romance,43,84,118,Maybe,Might visit,Probably not
22,35-44,Male,Full-time employed,"10,001 - 20,000",Master's Degree,2-3 times per month,Daily reader (read every day),Coffee/beverages quality,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)",International cuisine options|Sandwiches/Wraps,Children's/Young Adult|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,22,43,0,Definitely not,Definitely will visit,Probably yes
23,25-34,Male,Full-time employed,"Above 75,000",Master's Degree,4-6 times per week,Regular reader (3-5 times per week),Work/study in a different environment,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only",International cuisine options|Vegan/Healthy options,Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Other,58,124,314,"Yes, definitely",Probably will visit,Definitely not
24,25-34,Male,Full-time employed,"10,001 - 20,000",Bachelor's Degree,2-3 times per week,Monthly reader (few times a month),Coffee/beverages quality,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|Sandwiches/Wraps|Traditional Arabic sweets",Non-Fiction - Science/Technology|Other,29,52,84,"Yes, depending on price",Probably will visit,Probably yes
25,55+,Female,Full-time employed,"5,000 - 10,000",High School or below,2-3 times per month,Regular reader (3-5 times per week),Business meetings|Coffee/beverages quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate","No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets",Children's/Young Adult|Non-Fiction - History/Politics|Religious/Spiritual,25,42,149,Maybe,Definitely will visit,Probably yes
26,25-34,Female,Full-time employed,"10,001 - 20,000",Diploma/Vocational Training,Once a week,Occasional reader (1-2 times per week),Coffee/beverages quality,"Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Salads|Vegan/Healthy options",Children's/Young Adult|Comics/Graphic Novels|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,29,37,107,"Yes, depending on price",Definitely will visit,Definitely yes
27,18-24,Male,Full-time employed,"10,001 - 20,000",Bachelor's Degree,2-3 times per month,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|No food, just beverages|Salads|Traditional Arabic sweets",Non-Fiction - History/Politics|Other|Religious/Spiritual,27,41,97,"Yes, definitely",Might visit,Maybe
28,18-24,Male,Full-time employed,"35,001 - 50,000",High School or below,2-3 times per week,Occasional reader (1-2 times per week),Coffee/beverages quality|Work/study in a different environment,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Non-caffeinated beverages only","Desserts (cakes, brownies)|International cuisine options",Fiction - Science Fiction/Fantasy|Religious/Spiritual,39,71,280,Maybe,Probably will visit,Probably yes
29,45-54,Female,Homemaker,"35,001 - 50,000",Master's Degree,Once a week,Daily reader (read every day),"Relaxation and ""me-time""","Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate","Breakfast items|International cuisine options|Light snacks (cookies, biscuits)",Children's/Young Adult|Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir,38,83,286,"Yes, depending on price",Definitely will visit,Maybe
30,35-44,Female,Homemaker,"35,001 - 50,000",Diploma/Vocational Training,Once a week,Rare reader (few times a year),Free WiFi,"Arabic/Turkish Coffee|Filter/Drip Coffee|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)",Unknown,55,91,300,"Yes, depending on price",Definitely will visit,Definitely yes
31,45-54,Prefer not to say,Part-time employed,"5,000 - 10,000",Bachelor's Degree,Once a month,Regular reader (3-5 times per week),"Relaxation and ""me-time""","Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)","International cuisine options|Pastries (croissants, muffins)|Sandwiches/Wraps|Vegan/Healthy options",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,22,38,0,Probably not,Probably will visit,Maybe
32,35-44,Female,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,2-3 times per week,Monthly reader (few times a month),Coffee/beverages quality,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","International cuisine options|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options",Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help,32,68,250,"Yes, depending on price",Might visit,Probably yes
33,35-44,Male,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,2-3 times per month,Daily reader (read every day),Coffee/beverages quality,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)","International cuisine options|Pastries (croissants, muffins)|Salads|Sandwiches/Wraps",Children's/Young Adult|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,30,53,328,"Yes, depending on price",Definitely will visit,Definitely yes
34,55+,Male,Self-employed/Business owner,"Less than 5,000",Bachelor's Degree,2-3 times per week,Monthly reader (few times a month),Free WiFi|Work/study in a different environment,"Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)",Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - Science/Technology|Other|Poetry,19,30,192,"Yes, definitely",Probably will visit,Probably yes
35,25-34,Male,Self-employed/Business owner,"35,001 - 50,000",Bachelor's Degree,Daily,Monthly reader (few times a month),Ambiance and interior design,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Salads",Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,55,101,0,Probably not,Definitely will visit,Probably yes
36,35-44,Male,Full-time employed,"Above 75,000",Master's Degree,4-6 times per week,Occasional reader (1-2 times per week),Social meetings with friends/colleagues,"Cold Brew/Iced Coffee|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|Sandwiches/Wraps|Traditional Arabic sweets",Non-Fiction - Science/Technology|Poetry,105,174,451,Maybe,Definitely will visit,Definitely yes
37,45-54,Male,Full-time employed,"10,001 - 20,000",High School or below,4-6 times per week,Monthly reader (few times a month),Coffee/beverages quality,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)","International cuisine options|Light snacks (cookies, biscuits)|No food, just beverages|Salads",Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Other|Poetry,24,37,156,"Yes, definitely",Definitely will visit,Maybe
38,35-44,Male,Full-time employed,"35,001 - 50,000",Master's Degree,2-3 times per month,Regular reader (3-5 times per week),Social meetings with friends/colleagues,"Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)","Breakfast items|Desserts (cakes, brownies)|Salads",Comics/Graphic Novels|Non-Fiction - Science/Technology,39,83,0,Probably not,Definitely won't visit,Maybe
39,45-54,Female,Homemaker,"20,001 - 35,000",High School or below,Daily,Non-reader,Location convenience,"Filter/Drip Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options",Unknown,32,52,0,Probably not,Probably won't visit,Definitely not
40,35-44,Male,Full-time employed,"20,001 - 35,000",Master's Degree,2-3 times per week,Occasional reader (1-2 times per week),Ambiance and interior design,"Cold Brew/Iced Coffee|Tea (Black, Green, Herbal)","Desserts (cakes, brownies)|No food, just beverages|Salads|Vegan/Healthy options",Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Poetry,33,57,210,"Yes, definitely",Definitely will visit,Definitely yes
41,35-44,Prefer not to say,Full-time employed,"50,001 - 75,000",Master's Degree,2-3 times per week,Occasional reader (1-2 times per week),Free WiFi,Arabic/Turkish Coffee|Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only,"Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets",Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help,69,197,0,Probably not,Might visit,Probably not
42,18-24,Female,Student,"10,001 - 20,000",Master's Degree,Once a month,Occasional reader (1-2 times per week),Free WiFi,Cold Brew/Iced Coffee|Filter/Drip Coffee,"International cuisine options|Light snacks (cookies, biscuits)|No food, just beverages|Salads",Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics,40,69,0,Definitely not,Probably will visit,Probably yes
43,25-34,Female,Full-time employed,"10,001 - 20,000",Master's Degree,Rarely/Never,Daily reader (read every day),Social meetings with friends/colleagues|Work/study in a different environment,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Desserts (cakes, brownies)|International cuisine options|Sandwiches/Wraps|Vegan/Healthy options",Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Other,30,46,197,Maybe,Definitely will visit,Definitely yes
44,25-34,Male,Full-time employed,"Less than 5,000",Bachelor's Degree,Once a month,Occasional reader (1-2 times per week),"Coffee/beverages quality|Relaxation and ""me-time""","Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Tea (Black, Green, Herbal)","International cuisine options|Pastries (croissants, muffins)|Salads",Children's/Young Adult|Comics/Graphic Novels,13,24,112,"Yes, definitely",Probably will visit,Maybe
45,18-24,Female,Student,"Less than 5,000",High School or below,4-6 times per week,Monthly reader (few times a month),Location convenience|Work/study in a different environment,Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only,Salads|Traditional Arabic sweets,Comics/Graphic Novels|Non-Fiction - Science/Technology,16,23,104,Maybe,Definitely will visit,Definitely yes
